venda_id,cliente_id,produto_id,quantidade,data_venda,nome_x,categoria,preco_unitario,nome_y,idade,genero,cidade
68,65,38,3,2023-04-22,Produto 38,Higiene,371.78,Bryan Sales,34,MASCULINO,Rio de Janeiro
69,146,46,3,2023-12-30,Produto 46,Higiene,46.03,Joana Pereira,22,MASCULINO,São Paulo
70,177,4,2,2023-10-30,Produto 4,Limpeza,497.99,Ana Vitória Carvalho,39,FEMININO,Fortaleza
71,11,38,3,2024-04-15,Produto 38,Higiene,371.78,Ana Lívia das Neves,28,FEMININO,Rio de Janeiro
72,85,19,1,2023-04-01,Produto 19,Higiene,259.1,Felipe Correia,25,FEMININO,Fortaleza
73,26,6,5,2024-06-13,Produto 6,Eletrônicos,369.83,Rebeca da Cunha,50,FEMININO,Belém
74,63,34,5,2024-10-22,Produto 34,Limpeza,220.05,Dr. Kevin Campos,52,FEMININO,Manaus
75,86,18,7,2024-12-26,Produto 18,Alimentos,77.57,Dr. Luigi Campos,31,MASCULINO,Belém
76,59,13,4,2024-10-24,Produto 13,Alimentos,420.05,Natália Ribeiro,24,FEMININO,Manaus
77,27,41,3,2023-07-11,Produto 41,Eletrônicos,373.38,Vitor Nogueira,29,MASCULINO,Rio de Janeiro
78,177,23,1,2024-07-05,Produto 23,Limpeza,440.78,Ana Vitória Carvalho,39,FEMININO,Fortaleza
79,161,19,8,2023-08-30,Produto 19,Higiene,259.1,Stephany Moreira,69,FEMININO,Fortaleza
80,98,45,3,2023-05-18,Produto 45,Limpeza,241.47,Marcela Cavalcanti,58,FEMININO,Rio de Janeiro
81,105,11,2,2023-12-11,Produto 11,Limpeza,419.3,Caroline Fernandes,26,MASCULINO,Manaus
82,99,1,4,2023-06-29,Produto 1,Eletrônicos,61.16,Sophia Ferreira,46,MASCULINO,Fortaleza
83,129,24,3,2024-12-12,Produto 24,Alimentos,122.16,Júlia Souza,65,FEMININO,Manaus
84,149,7,1,2024-05-17,Produto 7,Alimentos,275.23,Dr. Thales Cavalcanti,56,FEMININO,Manaus
85,55,25,3,2023-07-22,Produto 25,Eletrônicos,454.31,Dr. Lucas Gabriel Dias,19,MASCULINO,Manaus
86,6,21,2,2024-07-26,Produto 21,Alimentos,292.75,Lucas Freitas,25,MASCULINO,Fortaleza
87,197,15,8,2023-07-11,Produto 15,Limpeza,115.18,Carolina Cunha,30,FEMININO,Rio de Janeiro
88,95,1,6,2023-01-05,Produto 1,Eletrônicos,61.16,Ana Fernandes,43,MASCULINO,São Paulo
89,133,12,9,2023-08-25,Produto 12,Bebidas,434.1,Cecília da Paz,52,MASCULINO,São Paulo
90,102,7,8,2024-11-23,Produto 7,Alimentos,275.23,Sarah Monteiro,18,MASCULINO,Belém
91,3,15,3,2023-11-07,Produto 15,Limpeza,115.18,Cauê Ferreira,46,MASCULINO,São Paulo
92,181,21,5,2024-07-02,Produto 21,Alimentos,292.75,Otávio Cavalcanti,62,FEMININO,São Paulo
93,23,19,7,2023-02-25,Produto 19,Higiene,259.1,Pietra da Luz,55,FEMININO,Belém
94,53,29,5,2024-03-18,Produto 29,Limpeza,243.43,Emanuella Ribeiro,26,FEMININO,Rio de Janeiro
95,165,25,8,2023-08-25,Produto 25,Eletrônicos,454.31,Guilherme Rodrigues,54,FEMININO,Rio de Janeiro
96,83,33,5,2023-07-16,Produto 33,Higiene,168.48,Beatriz Lima,65,FEMININO,Fortaleza
97,145,49,1,2024-08-07,Produto 49,Eletrônicos,402.04,Alana Rodrigues,18,FEMININO,São Paulo
98,85,32,5,2024-07-24,Produto 32,Alimentos,128.12,Felipe Correia,25,FEMININO,Fortaleza
99,78,49,4,2024-05-28,Produto 49,Eletrônicos,402.04,Sr. Enzo Araújo,51,FEMININO,Rio de Janeiro
100,110,35,6,2024-03-24,Produto 35,Alimentos,130.57,Dra. Brenda Peixoto,41,FEMININO,São Paulo
101,1,44,3,2023-12-26,Produto 44,Alimentos,203.11,Sr. Emanuel Costela,56,FEMININO,Rio de Janeiro
102,51,38,5,2024-11-30,Produto 38,Higiene,371.78,Evelyn Aragão,31,FEMININO,São Paulo
103,173,26,2,2023-01-30,Produto 26,Higiene,297.98,Alana das Neves,30,FEMININO,Rio de Janeiro
104,4,11,6,2023-04-18,Produto 11,Limpeza,419.3,Giovanna Aragão,32,MASCULINO,Belém
105,190,35,6,2024-08-24,Produto 35,Alimentos,130.57,Rafael Novaes,45,MASCULINO,Rio de Janeiro
106,193,8,5,2024-12-17,Produto 8,Higiene,354.39,Kamilly da Paz,50,FEMININO,São Paulo
107,113,46,6,2024-03-20,Produto 46,Higiene,46.03,Enzo Gabriel Farias,34,MASCULINO,Manaus
108,32,14,7,2024-03-13,Produto 14,Eletrônicos,215.92,Amanda Lima,44,MASCULINO,Belém
109,34,10,5,2024-08-28,Produto 10,Higiene,345.57,Dr. Igor Moura,45,MASCULINO,Rio de Janeiro
110,92,2,1,2024-04-01,Produto 2,Eletrônicos,465.81,André Aragão,35,FEMININO,Belém
111,95,46,8,2024-09-06,Produto 46,Higiene,46.03,Ana Fernandes,43,MASCULINO,São Paulo
112,72,9,4,2024-11-28,Produto 9,Alimentos,484.48,Luiza Nascimento,59,FEMININO,Belém
113,39,3,9,2024-11-26,Produto 3,Alimentos,487.25,Luiz Otávio Nascimento,61,FEMININO,Rio de Janeiro
114,154,21,6,2024-05-09,Produto 21,Alimentos,292.75,Dra. Clarice Fernandes,43,MASCULINO,Manaus
115,162,26,1,2024-11-04,Produto 26,Higiene,297.98,Vitor Hugo Fogaça,49,FEMININO,Manaus
116,182,8,3,2023-09-04,Produto 8,Higiene,354.39,Ana Julia Nogueira,23,MASCULINO,Rio de Janeiro
117,118,48,3,2024-06-26,Produto 48,Limpeza,220.99,Ana Julia Nogueira,22,MASCULINO,Belém
118,3,2,4,2024-07-17,Produto 2,Eletrônicos,465.81,Cauê Ferreira,46,MASCULINO,São Paulo
119,123,6,6,2024-08-10,Produto 6,Eletrônicos,369.83,Natália Dias,24,MASCULINO,Rio de Janeiro
120,50,28,7,2024-03-14,Produto 28,Alimentos,355.55,Nathan Costela,42,FEMININO,Belém
121,12,29,4,2023-10-05,Produto 29,Limpeza,243.43,Elisa da Mota,28,MASCULINO,Fortaleza
122,193,26,6,2024-07-05,Produto 26,Higiene,297.98,Kamilly da Paz,50,FEMININO,São Paulo
123,54,25,1,2024-09-04,Produto 25,Eletrônicos,454.31,Maria Luiza Fernandes,43,FEMININO,São Paulo
124,133,12,8,2023-04-21,Produto 12,Bebidas,434.1,Cecília da Paz,52,MASCULINO,São Paulo
125,57,5,7,2024-01-20,Produto 5,Bebidas,32.66,Sr. Davi Lucas Rezende,45,MASCULINO,Fortaleza
126,145,34,9,2023-07-10,Produto 34,Limpeza,220.05,Alana Rodrigues,18,FEMININO,São Paulo
127,112,48,3,2024-05-04,Produto 48,Limpeza,220.99,Ana Alves,68,MASCULINO,São Paulo
128,47,37,2,2024-11-24,Produto 37,Limpeza,287.88,Bruno Santos,56,FEMININO,Manaus
129,151,15,1,2024-03-01,Produto 15,Limpeza,115.18,João Felipe Martins,26,FEMININO,Belém
130,85,44,3,2024-02-09,Produto 44,Alimentos,203.11,Felipe Correia,25,FEMININO,Fortaleza
131,142,36,5,2023-12-01,Produto 36,Limpeza,205.58,Sofia Vieira,64,FEMININO,Fortaleza
132,66,15,2,2023-07-28,Produto 15,Limpeza,115.18,Thiago Silva,53,FEMININO,Fortaleza
133,75,43,3,2023-01-22,Produto 43,Limpeza,122.57,Sabrina Nascimento,35,MASCULINO,Manaus
134,179,48,4,2024-11-08,Produto 48,Limpeza,220.99,Dr. Guilherme Fernandes,19,FEMININO,Belém
135,103,23,7,2024-09-02,Produto 23,Limpeza,440.78,Ana Sophia Araújo,42,MASCULINO,São Paulo
136,166,6,3,2023-07-27,Produto 6,Eletrônicos,369.83,Luna Cavalcanti,40,FEMININO,Rio de Janeiro
137,192,46,9,2023-01-08,Produto 46,Higiene,46.03,Ana Luiza Silva,56,MASCULINO,Fortaleza
138,38,50,8,2024-12-02,Produto 50,Alimentos,489.06,Vitor Nunes,68,FEMININO,São Paulo
139,50,44,4,2024-11-17,Produto 44,Alimentos,203.11,Nathan Costela,42,FEMININO,Belém
140,98,43,1,2024-06-12,Produto 43,Limpeza,122.57,Marcela Cavalcanti,58,FEMININO,Rio de Janeiro
141,82,45,1,2024-08-24,Produto 45,Limpeza,241.47,Dr. Henrique Rodrigues,48,FEMININO,Belém
142,30,21,1,2024-10-14,Produto 21,Alimentos,292.75,Bárbara Vieira,42,MASCULINO,Fortaleza
143,79,23,1,2024-10-18,Produto 23,Limpeza,440.78,Renan Lopes,27,FEMININO,Fortaleza
144,91,43,8,2023-06-15,Produto 43,Limpeza,122.57,Eduardo Moreira,62,FEMININO,Fortaleza
145,179,16,3,2024-05-10,Produto 16,Alimentos,201.34,Dr. Guilherme Fernandes,19,FEMININO,Belém
146,191,47,6,2024-08-12,Produto 47,Eletrônicos,266.54,Emilly Duarte,42,FEMININO,Manaus
147,52,15,3,2024-03-04,Produto 15,Limpeza,115.18,Thiago Moreira,67,FEMININO,São Paulo
148,166,25,5,2023-06-12,Produto 25,Eletrônicos,454.31,Luna Cavalcanti,40,FEMININO,Rio de Janeiro
149,79,36,7,2024-01-01,Produto 36,Limpeza,205.58,Renan Lopes,27,FEMININO,Fortaleza
150,30,11,2,2024-06-09,Produto 11,Limpeza,419.3,Bárbara Vieira,42,MASCULINO,Fortaleza
151,106,15,6,2023-08-27,Produto 15,Limpeza,115.18,Mirella Oliveira,41,MASCULINO,Fortaleza
152,51,4,6,2023-03-13,Produto 4,Limpeza,497.99,Evelyn Aragão,31,FEMININO,São Paulo
153,81,21,3,2024-03-20,Produto 21,Alimentos,292.75,Dr. Vitor Gomes,31,MASCULINO,Manaus
154,133,13,6,2024-10-16,Produto 13,Alimentos,420.05,Cecília da Paz,52,MASCULINO,São Paulo
155,29,22,5,2024-05-23,Produto 22,Alimentos,432.25,Sra. Sabrina Farias,61,MASCULINO,Manaus
156,132,19,2,2023-09-26,Produto 19,Higiene,259.1,Daniel Moreira,54,MASCULINO,Fortaleza
157,138,34,9,2024-02-19,Produto 34,Limpeza,220.05,Maitê Freitas,52,MASCULINO,Belém
158,184,14,8,2023-09-02,Produto 14,Eletrônicos,215.92,Isabelly Fogaça,45,MASCULINO,São Paulo
159,145,4,3,2024-11-05,Produto 4,Limpeza,497.99,Alana Rodrigues,18,FEMININO,São Paulo
160,74,48,8,2023-03-01,Produto 48,Limpeza,220.99,Maria Vitória Jesus,46,MASCULINO,São Paulo
161,17,46,9,2023-01-06,Produto 46,Higiene,46.03,Dra. Raquel Oliveira,20,FEMININO,Fortaleza
162,84,27,3,2024-12-09,Produto 27,Higiene,178.36,Pietra Azevedo,32,MASCULINO,Fortaleza
163,69,29,3,2024-07-23,Produto 29,Limpeza,243.43,Otávio Campos,21,FEMININO,Rio de Janeiro
164,34,47,2,2024-02-11,Produto 47,Eletrônicos,266.54,Dr. Igor Moura,45,MASCULINO,Rio de Janeiro
165,6,28,8,2023-08-05,Produto 28,Alimentos,355.55,Lucas Freitas,25,MASCULINO,Fortaleza
166,53,35,1,2023-01-26,Produto 35,Alimentos,130.57,Emanuella Ribeiro,26,FEMININO,Rio de Janeiro
167,194,8,8,2023-01-05,Produto 8,Higiene,354.39,Daniela Silva,18,FEMININO,Belém
168,126,16,7,2024-06-15,Produto 16,Alimentos,201.34,Dr. Thomas Santos,29,FEMININO,Belém
169,43,42,7,2024-01-25,Produto 42,Higiene,342.11,Milena Aragão,68,FEMININO,São Paulo
170,115,36,3,2024-12-10,Produto 36,Limpeza,205.58,Sr. Leonardo Jesus,52,FEMININO,Belém
171,111,30,1,2024-07-24,Produto 30,Limpeza,192.1,Dr. Vicente Araújo,28,FEMININO,Manaus
172,151,18,4,2024-03-23,Produto 18,Alimentos,77.57,João Felipe Martins,26,FEMININO,Belém
173,183,2,9,2023-05-26,Produto 2,Eletrônicos,465.81,Catarina Martins,45,MASCULINO,Manaus
174,80,49,5,2024-01-23,Produto 49,Eletrônicos,402.04,Carolina Gomes,53,MASCULINO,Belém
175,95,13,1,2023-09-06,Produto 13,Alimentos,420.05,Ana Fernandes,43,MASCULINO,São Paulo
176,118,4,5,2024-06-09,Produto 4,Limpeza,497.99,Ana Julia Nogueira,22,MASCULINO,Belém
177,144,26,8,2024-04-06,Produto 26,Higiene,297.98,Clarice Gomes,20,FEMININO,Fortaleza
178,8,25,8,2023-01-13,Produto 25,Eletrônicos,454.31,Mirella Barros,56,MASCULINO,Belém
179,132,30,5,2024-01-19,Produto 30,Limpeza,192.1,Daniel Moreira,54,MASCULINO,Fortaleza
180,104,11,9,2024-07-09,Produto 11,Limpeza,419.3,Alexia Souza,24,FEMININO,Belém
181,132,7,1,2024-02-03,Produto 7,Alimentos,275.23,Daniel Moreira,54,MASCULINO,Fortaleza
182,184,31,4,2023-01-19,Produto 31,Eletrônicos,354.02,Isabelly Fogaça,45,MASCULINO,São Paulo
183,25,44,3,2024-07-28,Produto 44,Alimentos,203.11,Miguel Nunes,38,FEMININO,Manaus
184,195,10,2,2024-05-05,Produto 10,Higiene,345.57,Catarina Campos,44,FEMININO,São Paulo
185,96,39,8,2024-02-23,Produto 39,Bebidas,384.76,Enzo Gabriel Alves,42,MASCULINO,Rio de Janeiro
186,195,13,7,2023-12-03,Produto 13,Alimentos,420.05,Catarina Campos,44,FEMININO,São Paulo
187,155,31,9,2024-02-23,Produto 31,Eletrônicos,354.02,Dr. Carlos Eduardo Cavalcanti,59,FEMININO,Fortaleza
188,93,7,2,2024-09-03,Produto 7,Alimentos,275.23,Maria Fernanda da Mata,64,MASCULINO,São Paulo
189,160,49,4,2024-11-05,Produto 49,Eletrônicos,402.04,Maria Vitória Cavalcanti,66,MASCULINO,Rio de Janeiro
190,178,42,6,2023-05-02,Produto 42,Higiene,342.11,Marcos Vinicius da Costa,45,FEMININO,São Paulo
191,61,42,3,2024-03-07,Produto 42,Higiene,342.11,Luigi Vieira,25,MASCULINO,Belém
192,122,36,8,2023-02-13,Produto 36,Limpeza,205.58,Rafaela da Rosa,45,FEMININO,São Paulo
193,51,20,3,2023-11-13,Produto 20,Alimentos,120.45,Evelyn Aragão,31,FEMININO,São Paulo
194,147,4,2,2024-01-16,Produto 4,Limpeza,497.99,Leandro Teixeira,43,MASCULINO,Rio de Janeiro
195,21,7,3,2023-05-25,Produto 7,Alimentos,275.23,Francisco da Cruz,61,FEMININO,Fortaleza
196,5,1,6,2023-11-23,Produto 1,Eletrônicos,61.16,Thomas Alves,60,FEMININO,Manaus
197,92,44,2,2023-12-29,Produto 44,Alimentos,203.11,André Aragão,35,FEMININO,Belém
198,170,45,8,2023-02-19,Produto 45,Limpeza,241.47,Bryan Farias,60,MASCULINO,Manaus
199,61,42,1,2023-03-06,Produto 42,Higiene,342.11,Luigi Vieira,25,MASCULINO,Belém
200,22,47,7,2023-12-21,Produto 47,Eletrônicos,266.54,Kaique Barbosa,47,MASCULINO,Manaus
201,149,13,2,2023-06-13,Produto 13,Alimentos,420.05,Dr. Thales Cavalcanti,56,FEMININO,Manaus
202,70,22,6,2023-05-21,Produto 22,Alimentos,432.25,Luiz Felipe Sales,19,MASCULINO,Manaus
203,1,21,2,2023-05-08,Produto 21,Alimentos,292.75,Sr. Emanuel Costela,56,FEMININO,Rio de Janeiro
204,133,22,2,2024-02-02,Produto 22,Alimentos,432.25,Cecília da Paz,52,MASCULINO,São Paulo
205,12,28,8,2024-04-07,Produto 28,Alimentos,355.55,Elisa da Mota,28,MASCULINO,Fortaleza
206,90,9,2,2023-07-06,Produto 9,Alimentos,484.48,Diego Martins,33,MASCULINO,Rio de Janeiro
207,46,26,7,2024-12-20,Produto 26,Higiene,297.98,Evelyn Peixoto,26,MASCULINO,Manaus
208,34,9,3,2023-07-09,Produto 9,Alimentos,484.48,Dr. Igor Moura,45,MASCULINO,Rio de Janeiro
209,177,15,8,2024-01-23,Produto 15,Limpeza,115.18,Ana Vitória Carvalho,39,FEMININO,Fortaleza
210,78,10,7,2024-03-04,Produto 10,Higiene,345.57,Sr. Enzo Araújo,51,FEMININO,Rio de Janeiro
211,45,24,8,2023-10-11,Produto 24,Alimentos,122.16,Raul Sales,38,MASCULINO,São Paulo
212,155,42,7,2023-08-25,Produto 42,Higiene,342.11,Dr. Carlos Eduardo Cavalcanti,59,FEMININO,Fortaleza
213,73,8,6,2023-07-13,Produto 8,Higiene,354.39,Bárbara da Cruz,21,FEMININO,São Paulo
214,26,24,7,2023-10-14,Produto 24,Alimentos,122.16,Rebeca da Cunha,50,FEMININO,Belém
215,47,16,5,2023-05-16,Produto 16,Alimentos,201.34,Bruno Santos,56,FEMININO,Manaus
216,121,49,7,2023-06-20,Produto 49,Eletrônicos,402.04,Isabel da Rosa,58,MASCULINO,Fortaleza
217,56,26,1,2023-06-08,Produto 26,Higiene,297.98,Marcela Lima,37,FEMININO,Belém
218,94,27,1,2023-07-20,Produto 27,Higiene,178.36,Fernando Aragão,41,FEMININO,Fortaleza
219,107,37,9,2024-05-01,Produto 37,Limpeza,287.88,Arthur Moura,18,FEMININO,Belém
220,63,4,5,2024-07-10,Produto 4,Limpeza,497.99,Dr. Kevin Campos,52,FEMININO,Manaus
221,48,50,5,2024-08-05,Produto 50,Alimentos,489.06,Bernardo Azevedo,35,FEMININO,Manaus
222,61,24,3,2024-05-18,Produto 24,Alimentos,122.16,Luigi Vieira,25,MASCULINO,Belém
223,81,19,5,2024-01-06,Produto 19,Higiene,259.1,Dr. Vitor Gomes,31,MASCULINO,Manaus
224,26,36,3,2023-04-13,Produto 36,Limpeza,205.58,Rebeca da Cunha,50,FEMININO,Belém
225,36,39,9,2023-05-05,Produto 39,Bebidas,384.76,Rafael Rezende,32,MASCULINO,Manaus
226,1,10,9,2023-11-09,Produto 10,Higiene,345.57,Sr. Emanuel Costela,56,FEMININO,Rio de Janeiro
227,8,25,6,2024-04-02,Produto 25,Eletrônicos,454.31,Mirella Barros,56,MASCULINO,Belém
228,113,18,1,2023-08-18,Produto 18,Alimentos,77.57,Enzo Gabriel Farias,34,MASCULINO,Manaus
229,99,19,7,2024-10-19,Produto 19,Higiene,259.1,Sophia Ferreira,46,MASCULINO,Fortaleza
230,180,36,7,2023-07-16,Produto 36,Limpeza,205.58,Vitor Souza,59,FEMININO,Rio de Janeiro
231,47,10,4,2024-02-27,Produto 10,Higiene,345.57,Bruno Santos,56,FEMININO,Manaus
232,127,33,8,2024-07-25,Produto 33,Higiene,168.48,Noah Lopes,51,MASCULINO,Fortaleza
233,56,50,6,2024-09-01,Produto 50,Alimentos,489.06,Marcela Lima,37,FEMININO,Belém
234,14,5,4,2023-06-20,Produto 5,Bebidas,32.66,Joaquim da Costa,53,FEMININO,Manaus
235,28,47,4,2024-01-17,Produto 47,Eletrônicos,266.54,Maria Castro,39,FEMININO,Fortaleza
236,78,49,2,2023-06-22,Produto 49,Eletrônicos,402.04,Sr. Enzo Araújo,51,FEMININO,Rio de Janeiro
237,130,35,2,2024-10-24,Produto 35,Alimentos,130.57,Sra. Stella Fernandes,40,MASCULINO,Fortaleza
238,109,44,4,2024-03-28,Produto 44,Alimentos,203.11,Felipe Silveira,25,MASCULINO,São Paulo
239,154,34,5,2023-12-16,Produto 34,Limpeza,220.05,Dra. Clarice Fernandes,43,MASCULINO,Manaus
240,14,33,8,2024-09-25,Produto 33,Higiene,168.48,Joaquim da Costa,53,FEMININO,Manaus
241,187,21,6,2024-05-08,Produto 21,Alimentos,292.75,Thales Fogaça,37,FEMININO,São Paulo
242,56,17,4,2024-09-11,Produto 17,Eletrônicos,446.49,Marcela Lima,37,FEMININO,Belém
243,115,22,7,2023-01-04,Produto 22,Alimentos,432.25,Sr. Leonardo Jesus,52,FEMININO,Belém
244,7,48,8,2023-04-03,Produto 48,Limpeza,220.99,Sr. João Guilherme Pereira,38,MASCULINO,Manaus
245,3,37,2,2023-01-06,Produto 37,Limpeza,287.88,Cauê Ferreira,46,MASCULINO,São Paulo
246,111,15,7,2023-10-15,Produto 15,Limpeza,115.18,Dr. Vicente Araújo,28,FEMININO,Manaus
